time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
0,follower_0,50.03,-1.6,0.0,7.007272727272728,follower_1,,,,,0,0,bottom,0,0.0,0.0,leader_0,0.0
0.1,follower_0,50.0504159397745,-1.5995996874554022,0.19801980198019803,7.007272727272728,follower_1,2,150.0,150.0,2,1.9801980198019802,0,bottom,0,0.019801980198019806,0.019801980198019806,leader_0,0.0
0.2,follower_0,50.0912478193235,-1.598799062366206,0.39603960396039606,7.007272727272728,follower_1,2,148.019801980198,148.019801980198,2,1.9801980198019802,0,bottom,0,0.05940594059405942,0.05940594059405942,leader_0,0.0
0.3,follower_0,50.152495638647,-1.597598124732412,0.5940594059405941,7.007272727272728,follower_1,2,146.03960396039602,146.03960396039602,2,1.9801980198019808,0,bottom,0,0.11881188118811883,0.11881188118811883,leader_0,0.0
0.4,follower_0,50.234159397744996,-1.5959968745540198,0.7920792079207921,7.007272727272728,follower_1,2,144.05940594059405,144.05940594059405,2,1.9801980198019797,0,bottom,0,0.19801980198019806,0.19801980198019806,leader_0,0.0
0.5,follower_0,50.33623909661749,-1.5939953118310297,0.9900990099009901,7.007272727272728,follower_1,2,142.07920792079207,142.07920792079207,2,1.9801980198019797,0,bottom,0,0.29702970297029707,0.29702970297029707,leader_0,0.0
0.6,follower_0,50.458734735264485,-1.5915934365634417,1.188118811881188,7.007272727272728,follower_1,2,140.09900990099007,140.09900990099007,2,1.9801980198019797,0,bottom,0,0.4158415841584159,0.4158415841584159,leader_0,0.0
0.7,follower_0,50.60164631368598,-1.5887912487512554,1.386138613861386,7.007272727272728,follower_1,2,138.11881188118812,138.11881188118812,2,1.9801980198019797,0,bottom,0,0.5544554455445545,0.5544554455445545,leader_0,0.0
0.8,follower_0,50.764973831881974,-1.5855887483944713,1.584158415841584,7.007272727272729,follower_1,2,136.13861386138615,136.13861386138615,2,1.9801980198019797,0,bottom,0,0.712871287128713,0.712871287128713,leader_0,0.0
0.9,follower_0,50.94871728985247,-1.581985935493089,1.782178217821782,7.007272727272729,follower_1,2,134.15841584158414,134.15841584158414,2,1.9801980198019797,0,bottom,0,0.8910891089108912,0.8910891089108912,leader_0,0.0
1.0,follower_0,51.15287668759746,-1.5779828100471087,1.98019801980198,7.007272727272729,follower_1,2,132.17821782178217,132.17821782178217,2,1.9801980198019797,0,bottom,0,1.0891089108910892,1.0891089108910892,leader_0,0.0
1.1,follower_0,51.37745202511695,-1.5735793720565305,2.178217821782178,7.007272727272729,follower_1,2,130.1980198019802,130.1980198019802,2,1.9801980198019797,0,bottom,0,1.306930693069307,1.306930693069307,leader_0,0.0
1.2,follower_0,51.62244330241094,-1.5687756215213542,2.376237623762376,7.0072727272727295,follower_1,2,128.21782178217822,128.21782178217822,2,1.980198019801982,0,bottom,0,1.5445544554455446,1.5445544554455446,leader_0,0.0
1.3,follower_0,51.887850519479436,-1.5635715584415797,2.5742574257425743,7.0072727272727295,follower_1,2,126.23762376237623,126.23762376237623,2,1.980198019801982,0,bottom,0,1.801980198019802,1.801980198019802,leader_0,0.0
